Run,Energy Balance Model.Heat Capacity of Land & Ocean Surface,Energy Balance Model.Heat Capacity of Thermocline Ocean,Energy Balance Model.Heat Capacity of Deep Ocean,Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor,Energy Balance Model.Heat Transfer Coefficient between Land & Ocean Surface and Space,Energy Balance Model.Heat Transfer Coefficient between Surface and Thermocline Ocean,Energy Balance Model.Heat Transfer Coefficient between Thermocline Ocean and Deep Ocean,Aerosol Forcing.Scaling Aerosol Cloud Interactions Effective Radiative Forcing scaling factor,Aerosol Forcing.Logarithmic Aerosol Cloud Interactions Effective Radiative Forcing scaling factor,Aerosol Forcing.Effective Radiative Forcing from Aerosol Radiation Interactions per unit SO2 Emissions,CH4 Forcing.Calibration scaling of CH4 forcing,N2O Forcing.Calibration scaling of N2O forcing,Minor GHGs Forcing.Calibration scaling of Minor GHG forcing,Stratospheric Water Vapour Forcing.Calibration scaling of Stratospheric H2O forcing,BC on Snow Forcing.Calibration scaling of Black Carbon on Snow forcing,Land Use Forcing.Calibration scaling of Albedo forcing,Land Use Forcing.Calibration scaling of Irrigation forcing,Natural Forcing.Calibration scaling of Volcano forcing,CO2 Forcing.Calibration scaling of CO2 forcing,Natural Forcing.Amplitude of Effective Radiative Forcing from Solar Output Variations,Natural Forcing.Linear trend in Effective Radiative Forcing from Solar Output Variations,Ozone Forcing.Ozone forcing per unit CH4 concentration change,Ozone Forcing.Ozone forcing per unit N2O concentration change,Ozone Forcing.Ozone forcing per unit Montreal gases equivalent effective stratospheric chlorine concentration change,Ozone Forcing.Ozone forcing per unit CO emissions change,Ozone Forcing.Ozone forcing per unit VOC emissions change,Ozone Forcing.Ozone forcing per unit NOx emissions change,Ocean.Depth of warm surface ocean layer,Ocean.Thickness of intermediate ocean layer,Ocean.Depth of cold surface ocean layer,Ocean.Reference overturning strength in Sv,Ocean.Reference intermediate to warm surface ocean mixing strength,Ocean.Reference cold surface to deep ocean mixing strength,Ocean.Reference strength of biological carbon pump in low latitude ocean,Ocean.Reference strength of biological carbon pump in high latitude ocean,Ocean.High latitude carbon pump transfer efficiency,CO2 Forcing.Atmospheric CO2 Concentration 1750,Ocean.Warm surface ocean alkalinity sensitivity to global T anomaly,Ocean.Cold surface ocean alkalinity sensitivity to global T anomaly,Ocean.High latitude carbon pump sensitivity to global T anomaly,Ocean.Warm surface ocean temperature sensitivity to global T anomaly,Ocean.Cold surface ocean temperature sensitivity to global T anomaly,Ocean.Warm surface ocean salinity sensitivity to global T anomaly,Ocean.Cold surface ocean salinity sensitivity to global T anomaly,Ocean.Initial Cold surface ocean pH,Ocean.Initial Warm surface ocean pH,Ocean.Initial Cold surface ocean carbon reservoir,Ocean.Initial Warm surface ocean carbon reservoir,Ocean.Initial Intermediate depth ocean carbon reservoir,Ocean.Initial Deep ocean ocean carbon reservoir,Energy Balance Model.Initial Land & Ocean Surface Temperature,Energy Balance Model.Initial Thermocline Ocean Temperature,Energy Balance Model.Initial Deep Ocean Temperature,Energy Balance Model.Initial ocean heat content change,CH4 Forcing.Initial CH4 in atmosphere,CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750,Energy Balance Model.Surface Temperature 1850 to 1900 offset relative to 1750
409,3.952515411345587,5.623901180509048,128.3146619301014,1.1621313150305583,1.2645676643958383,2.4077360968794816,0.805358526014347,-1.3602605482741603,0.0066099444239433,-0.0045459158935484,0.9077760922575728,1.007488267111486,1.0147950557464789,-0.2588487460476747,1.5818893984257456,1.04256380661005,1.3545721737125394,1.139130807587113,1.0284685229276864,1.5915066643677165,0.0679143407057509,0.0002382635127219,0.0011238437591645,-0.0001747359431234,3.4043053715265755e-05,0.0001198809384372,0.0007159567059375,104.83790402598396,540.1019823396078,118.85478699413876,21.59720981976985,80.96577921088105,20.538476520688967,0.872080598922464,7.567966983576698,0.1906613356336643,276.0293494458554,-3.3807621705330087e-06,-1.0086396237314211e-05,-0.1386312501474181,0.5071700063722113,0.3307528761413655,-0.03380762170533,-0.1008639623731421,8.40431490682,8.07876460078,150.926879592,778.000529316,5232.01015335,30929.468068,0.278321621958,0.184376828492,0.0482007743938,0.133953949889,2157.65291619,483372.652814,0.07615072435019432
3111,2.9369051647141085,7.305923057585031,45.529857860108336,1.5187325769521771,1.2500547759506475,3.2998106945377845,0.6364284722841723,-0.6877784742009948,0.0170072802697668,-0.0022965669337343,0.973239267235937,0.8151414038256843,1.1069581579220007,1.999120047860992,0.6855308793826254,1.2414283972919558,0.7314476277809181,0.9776055954463166,1.0053450093469756,0.5395688648558546,0.0168053135930039,0.0002266598989706,0.0010628279489842,-0.000161424742917,1.560867524109999e-05,6.213510632407559e-06,0.0016580472730461,381.9821849575064,685.8064867079806,438.5851319177963,28.62285980414877,50.227616170338855,20.73378730032055,2.5075168937890857,11.898407507070832,0.4959053903778451,279.4096047150678,-2.202745454593901e-06,-2.6002935841135203e-05,-0.4835686527099962,0.6980705460098874,0.4495446046532919,-0.022027454545939,-0.260029358411352,8.30151627337,8.08742374782,569.54439173,2826.27259459,7069.64861833,26738.6447108,0.409411712668,0.311391636049,0.102788589014,0.131306098271,2149.43832409,454941.859067,0.05773239070050353
4211,4.578350281323588,5.821223587007159,161.94485103025048,1.1399748796565077,1.3586044778764792,1.7527894800157489,0.7184803451545457,-0.9147373483154542,0.0181916563232885,-0.0007737726980398,1.018349144531826,0.9323713887092018,0.987333531929096,1.051583731453805,0.1656221938030904,0.9120336693647098,1.870178823892555,0.8284297693450562,0.9835927608563656,0.6211268909281619,-0.0085540142271844,0.0002062176502541,0.0010336442671937,-0.0001366711091515,0.0001061460121191,-0.0004595997256745,0.0009042862184586,372.1603973642255,575.2973400706692,151.4777484451203,14.091509438620236,76.73706758970404,11.249842175732246,0.937102845826634,5.585754639681921,0.4300463207699931,279.4065568251841,-1.405235998910322e-06,-6.280490314032337e-06,-0.2502529014459493,0.4399554675447298,0.6609654287390252,-0.0140523599891032,-0.0628049031403233,8.24807341122,8.09151533132,199.906155222,2753.09735866,5384.99404802,28796.7178836,0.263741813504,0.154754328436,0.0155145796342,0.0743804902035,2159.92379273,465117.204231,0.04407890242027509
5534,4.375168670169141,23.86691890916592,357.4215783076464,0.6066535747320462,2.106165319665436,2.43229881041519,0.780915622127536,-0.1872911915952582,0.0344580290905451,-0.0013601308037103,0.9591471761952932,0.9969819287441828,1.170078329387036,1.426518523738975,1.3036431414312375,0.653066533638216,0.0548251558732298,0.7689546354513693,0.883956693777466,1.149729738371568,-0.0063226550070317,0.0002771013572954,0.0009696611672549,-1.7731091350880795e-05,9.316626441513431e-05,-1.9363227466006548e-05,6.732067885749718e-05,444.93457617852977,701.5965060939503,188.9170026038539,19.627922292672974,61.48629737790554,15.788128116618642,1.8405163430953333,5.430453150553018,0.4379941708147782,279.3810199448244,-1.712320254108904e-06,-2.2868105607838208e-05,-0.1524829988985719,0.9019232608779923,0.4975815371356059,-0.017123202541089,-0.228681056078382,8.21156482364,8.0937161223,250.046923116,3283.74842525,6698.48177224,25867.0268925,0.52837966486,0.348838566745,0.0271526469544,0.327444356601,2140.27374699,472709.063505,0.05367541548786784
6290,3.364373734715259,4.329209137409193,128.3830674012908,1.183649107423178,1.111876742257571,5.354535353052228,0.7584758094689272,-1.1322968985343231,0.011155656614732,-0.0050358306828859,0.871832732277576,1.0473092641559447,0.950340669049079,0.3887676753897806,1.0137558119846142,0.6553878170777399,1.2989636149770585,0.8640628300721609,0.9636223493951168,1.2257696740511177,0.0702668024551571,0.0002652349644453,0.0015057096144883,8.894111803226368e-05,0.000100117819096,0.0003192260656071,0.0012872155874769,311.7155415709422,428.7802153696596,439.1072077548775,16.95053321430943,70.11130406822232,15.090503040953037,1.6005258634181074,10.568585408733911,0.4538523740491182,280.15620074900403,-3.637337660390737e-06,-2.8521185865837268e-05,-0.182480811405974,0.4557865820481593,0.8760721731846322,-0.0363733766039073,-0.2852118586583727,8.38510781673,8.08050249826,559.168593127,2312.36804824,4266.34003057,31194.2412705,0.252054262597,0.204795648293,0.0369151196639,0.104207836574,2161.30666727,449999.071168,0.06913580904731764
7473,3.0981629613488173,9.951401325288984,305.3545859814301,0.4800367030209982,1.860118088295923,2.7245284808509056,0.7221221427752046,-0.3930027675971066,0.0064932495215541,-0.0039411537476015,0.9074415835058476,1.0751508049890433,0.9468428215895484,1.562947108920119,0.5643163622891811,0.961794763033115,1.2536230453118562,0.7866646118569444,0.9296450411793415,0.994005688937056,-0.0026678235678683,0.0002037934894863,0.0011730360773524,1.493125514507996e-05,0.0002015720928589,-0.0001057504194963,0.0015329285750221,264.51985017885704,765.6025881537105,112.50853473822818,29.905887438040374,62.99217295897572,15.946957354429824,1.7397024054542674,7.559724964037688,0.1483459584880846,279.9574704848589,-3.06403945217295e-06,-6.949723296526958e-06,-0.1096592739357434,0.8310457518891967,0.8988778750368138,-0.0306403945217294,-0.0694972329652695,8.36708962054,8.07845662972,143.989593449,1960.07602632,7697.80091984,27519.5799855,0.534818195257,0.421851392468,0.0375764286541,0.278940445432,2139.78329043,471741.015583,0.07233475699518291
9218,2.0965457472127227,14.113862947829231,143.69958366737566,1.1213950827713608,1.853292501761929,4.597630627278861,0.7973304532694097,-0.6966913952878395,0.0049875277178611,-0.001848296893772,1.2030339736250395,0.9886116381936684,0.9756940509491716,0.4267807714417552,2.342823770065353,1.7980742165059351,0.8341813075356574,1.113835102106964,0.9222744403884104,0.845065316304369,-0.0228373044101942,0.0002726546657715,0.0011077196477358,7.75304682050279e-05,-4.067149749454795e-05,-7.578953609686067e-05,0.0008622509129479,292.1811655022242,852.5463046506243,386.2901009542089,29.289049381397728,53.296089271767016,12.444577958819048,0.095577450119722,7.367988598935653,0.2706993043501066,277.58853348430705,-1.967979924760814e-06,-1.7505900393609364e-05,-0.4049760634272779,0.5463029577515873,0.5525293633432866,-0.0196797992476081,-0.1750590039360936,8.3295162794,8.08400602368,498.403776726,2163.8075402,8368.4493576,25883.2789168,0.5151185668,0.39745214242,0.0637175243635,0.255063243952,2141.82355949,473521.211981,0.05074867555423357
13367,3.018501635405455,23.23185177168761,75.18735787444326,0.9873752102642928,1.958675982788172,2.1225693119599582,0.482597553470974,-0.1307977718047007,0.0434876989173404,-0.0050423331777892,0.9991798984049288,0.9273200341783192,0.9818815722414392,0.6027705768806684,1.5747684515505316,0.9019653704834946,0.894123385562047,1.017642775716526,0.956680824429484,0.9390394091785484,0.0240996354265869,0.0002316209472266,0.0007865478670706,-1.4018764024930645e-05,4.55600891492779e-05,6.834329233830263e-05,0.0014331625057794,273.81617252652813,548.9530196699006,120.49377780864911,20.70285285354537,77.92192716590944,26.12147874176881,0.4722675568581855,5.763988815780681,0.2211835870354702,279.85542972330285,-3.64074311140267e-06,-1.705205242853607e-05,-0.0502613693606626,0.4427326099701141,0.5711269830974011,-0.0364074311140267,-0.1705205242853607,8.29390527192,8.08493615742,156.900596698,2027.41373443,5168.59882677,28645.26464,0.453775407113,0.290654400428,0.0611743317139,0.20477669859,2145.38686709,471988.985403,0.059014755635679025
13655,3.850225889015615,10.357779836680969,176.9017815704183,0.7141929904831961,1.7737657211722055,1.6346453190229528,0.676519892880909,-0.8068671294293068,0.010566250477015,-0.002384416187613,1.097671837234073,0.9806876802621026,0.9321548099572008,0.8539094123496072,0.7060342546080195,1.2388113976279906,1.7824061634325146,0.9937299446425564,1.0542966618669778,0.6707125650982757,0.043022028422889,0.000231259333068,0.0012955452366304,-3.525858840631885e-05,0.000203533719052,3.8092627994668055e-05,0.0017893174139459,417.90590079727286,945.2792261291294,356.7129312889911,29.87066460316206,54.80243100326179,28.17990773913652,2.6165191612742404,5.747693253229713,0.3982116902748351,280.1113704115421,-2.2487533846220185e-06,-2.0209886832887205e-05,-0.0785499613921252,0.9151192885435924,0.8108761928797863,-0.0224875338462201,-0.202098868328872,8.19794813904,8.09622699826,473.587612724,3081.95063277,9172.20846191,22885.4781163,0.508433091959,0.333394055525,0.0453121552463,0.216123344051,2142.24687593,462462.373625,0.08020459268696274
14495,3.93939776356473,12.63657501226829,151.42996188783354,1.2997305673401882,0.755912704557101,4.2071040836147855,0.8225887497795229,-3.944459198067858,0.0029579097405976,-0.0036414500892391,0.931822254444924,1.0772650619018984,0.8105868395931606,1.5273511642624769,1.219418124638223,0.6390323663783872,0.6319081670334106,0.95259027187357,1.0261266263943072,0.9075835809415316,0.0573587193950884,0.0002659289860772,0.0008577045314585,4.835196740988115e-06,0.0002619284319298,0.0001113015322203,0.0018645342172633,365.9205595087636,793.8644707683416,395.9369722325119,28.03587555914199,60.57273526544336,29.52784975469372,1.2683396230121409,5.478816743907896,0.4649517416534119,279.17408791587064,-2.9070802939069403e-06,-1.117950475766895e-05,-0.4217317991943111,0.534819079886488,0.6200000496985456,-0.0290708029390694,-0.1117950475766895,8.20853968776,8.09805844631,526.485556747,2700.93651954,7431.98156549,24388.189795,0.304191077896,0.222608863865,0.0567866928624,0.202987586204,2154.09812918,455844.616592,0.09803150858074468
