Run,Ocean.Depth of warm surface ocean layer[1],Ocean.Thickness of intermediate ocean layer[1],Ocean.Depth of cold surface ocean layer[1],Ocean.Reference overturning strength in Sv[1],Ocean.Reference intermediate to warm surface ocean mixing strength[1],Ocean.Reference cold surface to deep ocean mixing strength[1],Ocean.Reference strength of biological carbon pump in low latitude ocean[1],Ocean.Reference strength of biological carbon pump in high latitude ocean[1],Ocean.High latitude carbon pump transfer efficiency[1],Ocean.Atmospheric CO2 Concentration 1750[1],Ocean.Initial Cold surface ocean pH[1],Ocean.Initial Warm surface ocean pH[1],Ocean.Initial Cold surface ocean carbon reservoir[1],Ocean.Initial Warm surface ocean carbon reservoir[1],Ocean.Initial Intermediate depth ocean carbon reservoir[1],Ocean.Initial Deep ocean ocean carbon reservoir[1]
Run 1,175.93329860934978,932.5777852138876,398.2071166266453,21.66942932355765,56.85972588784141,15.243309311814514,0.7292218098521059,7.801870795286078,0.2637235401750604,279.93985690157655,8.49838943321,8.14407186186,492.488602241,1282.70974656,9043.81523786,26111.2543292
Run 2,358.92543060007944,737.2952540373931,201.1336385780095,23.626199748367256,63.75901344117004,29.2498979018514,2.665861674175007,11.831010415531834,0.1496698509538302,278.8522417440592,8.7415548376,8.13802715986,227.781787922,2621.57695657,7522.3933088,26667.7128624
Run 3,95.24712889407208,951.2379989010064,493.9420508742221,29.987584250374915,80.67991036412134,13.826509650109475,0.8876107021662397,8.514599171842121,0.2378112537500505,277.0872016251293,8.54198512753,8.13893500148,602.400190306,695.483323973,9158.03473177,26405.2793128
Run 4,419.3579999843868,951.5155528051164,298.8640217656191,11.440434897466748,71.89458531815207,12.247966414645902,1.5475471907873657,9.712261494298204,0.4643563793252252,278.9395812955851,8.5405759026,8.14506344699,364.655653929,3056.58950452,9131.59191663,24136.8703643
Run 5,87.010391535652,311.41316575060347,258.54572144674097,24.988331302506104,62.72433956821693,10.629590208481837,0.1400098331988164,5.103141015748872,0.2868334149788893,277.49737429669034,8.3518494246,8.14789439217,333.269053822,633.661297721,2939.6915753,33130.7500154
Run 6,76.97318626303135,933.7095878177804,85.49539823526324,14.10137246517051,70.6072491635502,23.74437131743256,2.5678022064163755,7.985390994444832,0.2806283732762266,277.02455407613854,8.48902613077,8.14896446361,106.043933037,560.392625055,9075.3155206,27386.3687882
Run 7,270.2094696613905,383.91251568233935,195.3928578968627,20.412323999205118,79.08763579749134,24.611921436436315,0.8749155352260105,7.838986833739155,0.1950750279313803,275.7520635275081,8.5068606389,8.14000342049,241.008218835,1972.41638063,3707.54949999,30980.5682086
Run 8,98.97410903372504,381.2673940065216,479.0710248169503,25.21296100329416,59.04809698013769,16.58002403546585,0.6123113082606677,5.67539793506389,0.3186390198837135,277.06263033771546,8.33484252064,8.14922058006,620.178525249,720.506060954,3642.43909293,31977.6987469
Run 9,90.2111596512064,580.633193960691,125.4248660347924,12.191873095683007,62.12429832154635,22.00834760776894,1.278719961669903,8.064290388492473,0.2382513292157741,278.6922703281989,8.54585690736,8.14307730942,152.770377125,657.913517304,5684.7791265,30753.8632724
Run 10,76.52203608812877,895.8757219994321,248.83522222155656,18.814676795487983,82.4301567516469,26.552275509130304,2.4552277425090896,5.314739390498322,0.2469883327593591,276.1781806637388,8.32812734858,8.15046816432,322.662128534,556.854246584,8528.4888466,27401.9916874
Run 11,247.7874982573657,910.5983714718716,98.68687827292064,16.451110974566035,65.51809633029492,13.719405566671842,2.7143077368472635,5.299106423361891,0.4752386578786186,275.89018981140373,8.29137066198,8.15870733079,129.098825205,1798.7244937,8687.08463761,26097.6711235
Run 12,422.58075498700265,737.5513445862082,139.79956205230917,11.40259945863657,80.97834461185644,11.34052745472754,0.0364471906062749,8.281793578206807,0.2813355255734532,277.75473293978183,8.65699503613,8.13842694866,163.690950827,3086.07752892,7004.26768786,26486.8141074
Run 13,437.9734819534996,745.0748004165705,161.226862007043,13.750445252693162,85.37193920504711,17.096183400795297,2.856254492098585,10.463546640427522,0.2705162524685551,279.1507955797497,8.75511941974,8.13730020962,181.551470117,3199.58912491,7322.43337444,26189.1329498
Run 14,312.32690824627804,845.4151659131013,290.1784254447771,21.90526714942133,65.41947623550983,26.305697756326424,2.7775213032520583,6.090406015838778,0.2281697913708277,278.1208628439668,8.35506917521,8.15166581289,373.743333427,2272.02421186,8212.82436022,25867.1138466
Run 15,307.25405321898256,604.2411713539417,428.30901107127727,17.366246725343963,53.78543356395867,14.808314261106206,0.5344563259212826,5.595595786624978,0.3714355774510911,280.1236816041278,8.33593896874,8.14842515677,554.314330146,2237.25833514,5754.99619715,28164.0683288
Run 16,129.04656939237427,902.6172672196876,465.01460332815975,15.34477744878248,76.26881461473982,11.132661138016047,1.0054893399550318,5.569671446039873,0.442398038844273,277.03752913789066,8.33746726509,8.14939115281,601.583988905,939.372507406,8468.93551593,26678.4812554
Run 17,111.32034948476122,464.0988392536253,452.17537252096673,17.013949330190297,78.25505662958939,17.3187611400882,0.6506317785362254,7.34711718622297,0.1443319240555333,278.7995243938198,8.57534566617,8.13688107851,545.296037369,813.334871162,4470.2295196,31246.1213731
Run 18,96.94132964880733,780.7806230086524,215.14812964965984,12.471673507400162,56.001804120216114,15.501031995548525,1.1620155635678695,9.280549344981097,0.4046211367188178,279.47888678011543,8.53280902813,8.14639282016,263.182495796,706.304762715,7595.60838586,28629.3056975
Run 19,343.99244081398945,925.4174553069378,296.99360525508445,29.806681028163723,56.47080412060038,12.75661297748399,2.78109504116839,5.7454002565241575,0.3747670969727541,281.60378721665853,8.29739721545,8.1528652551,387.975089238,2501.47693229,8971.75336806,24796.4679929
Run 20,337.4433149015842,321.63052017183776,208.48511106598065,18.089226434280448,55.58031726486183,13.03256789637079,1.07053601535783,11.834183185608076,0.258284819263797,277.77619665902324,8.86656888365,8.13410364982,223.578626002,2467.4696698,3317.82931944,31158.4925242
Run 21,213.32671519300612,504.0947546535453,466.2365149749542,20.53838723187837,70.44152758267953,15.129773153776709,1.3299467721276284,7.120761828370229,0.1512501822212593,279.22615383500863,8.5331267218,8.1399112327,570.26983563,1557.24384524,4911.29185387,29956.2053494
Run 22,319.5908327583198,838.1486171288842,216.13751320970795,16.369976144505777,88.60136168414394,20.110631750446103,0.3446496832582368,9.729920976110895,0.1266352405039425,278.4521790624762,8.80712875668,8.12977136422,238.019997062,2339.84902723,8113.06436095,26113.9948606
Run 23,493.6403017014185,557.7038404571488,295.36554466589087,16.80118368683303,74.87006617028261,25.993384672129523,0.8670071004786442,11.743875491502669,0.2624120352797521,277.0262330151832,8.73473772026,8.13332096553,335.415015247,3610.43645774,5518.8718373,27267.1285245
Run 24,384.25223798039787,501.2470691176375,403.4354774722643,21.8737539602649,68.07771382900857,25.11845284479187,0.7175482142219022,6.354763979273082,0.2937583940404223,276.8955550374952,8.35826887499,8.14654746081,519.18174738,2799.47432561,4780.33284409,28492.5461241
Run 25,385.54150603127175,624.5830692171891,281.6168130057781,25.076393076263656,60.42478182783242,20.10172094364306,1.170810054215273,4.010972135753066,0.3660602299091688,277.004389473896,8.24078874149,8.15418415928,372.612913663,2802.48823326,5902.94815203,27369.1912304
Run 26,406.777245544405,454.0101960349417,282.0529963965521,17.959130869313217,74.75989606791919,26.017711507678506,2.353707980833465,4.631571028668131,0.3678061568121914,278.0147937729557,8.25867423603,8.15288303308,371.727936199,2958.00124953,4297.36610114,28910.1804315
Run 27,265.0020283214675,829.2847047051735,457.2071527651469,21.83394198173909,57.88533372712831,17.250248342033846,2.8972529564461613,10.744798689366998,0.3261541475396326,276.9844276897128,8.61089278745,8.15033317565,544.562114498,1928.54250595,8289.60379334,26310.2164799
Run 28,317.8998879423379,748.7756256245668,70.98096146494211,23.003588442151457,87.49286420097536,28.94246637201802,2.1067614631624134,7.242839044187778,0.4441159422062538,278.626593785267,8.31082923191,8.14548043113,92.4274840372,2316.78944529,7099.56361686,27045.6281486
